frame,x,y,z
0,0.0,0.0,0.0
1,0.5773502691896255,-0.5773502691896257,0.5773502691896257
2,0.2073343032383937,0.34717103195647225,0.48597987645596974
3,0.6102405263905935,-0.5620572712251917,0.38123987436210716
4,1.2387849963095514,-0.8881407502080776,-0.32487726469395284
5,0.661434727119927,-0.3107904810184514,-0.9022275338835792
6,1.2387849963095516,-0.8881407502080778,-0.32487726469395306
7,1.7523304454157986,-0.8228602573817841,0.5306982895142184
8,2.329680714605428,-1.4002105265714087,1.1080485587038407
9,2.9221033314180413,-1.382032593774924,1.9134708118407537
10,3.6749426152217524,-1.408864096928951,1.2558135430446034
11,4.252292884411382,-1.9862143661185767,1.8331638122342246
12,4.829643153601012,-2.563564635308203,2.4105140814238446
13,5.4069934227906336,-3.1409149044978286,2.987864350613474
14,4.938638592810798,-2.7976040468109,3.801978229766032
15,4.361288323621155,-2.2202537776212687,3.22462796057643
16,3.684884413092454,-2.587290943402273,2.586065928541227
17,4.262234682282097,-3.1646412125919037,3.16341619773083
18,5.194242771583448,-3.2696169108589714,2.8165141593249072
19,5.046818086506783,-4.119240520309194,3.322879328441842
20,4.796884368476361,-4.83048795679657,2.66587078916581
21,5.5496609307019344,-4.191854101988846,2.506264251526296
22,5.800174846802768,-3.31098741917976,2.9079067106323286
23,6.552951409028391,-2.6723535643720884,2.748300172992845
24,6.785705039284862,-1.744720029453291,3.0403990817489177
25,7.538481601510484,-1.1060861746456152,2.8807925441094415
26,7.140780787248508,-1.8119121660095483,2.2945812065779334
27,6.388004225022885,-2.4505460208172236,2.454187744217409
28,7.140780787248508,-1.8119121660095487,2.2945812065779325
29,7.061035493742792,-2.032096254367848,1.3223879874092779
30,6.862003053071877,-2.838747787994245,0.7658815715803511
31,7.614779615297503,-2.2001139331865742,0.6062750339408727
32,6.831693832924195,-2.8084385678465624,0.7355723514326684
33,6.65605285653444,-1.909061353670897,1.1359108007907983
34,6.017431810493319,-2.4491330839919128,0.587745054267534
